Avg Lag,Avg Profit
17.66666667,-883.6844667
6.666666667,-53.59246417
34,1688.117745
2.666666667,1722.957083
2.666666667,1629.168433
2.666666667,1414.4817
19.66666667,-1577.929933
25.33333333,-1406.000842
20.66666667,-1069.785517
17.66666667,-868.0563217
36.66666667,-705.5401667
52.66666667,-1134.668167
2.666666667,203.36705
2.666666667,198.1518
2.666666667,215.2756333
2.666666667,149.5687167
34.66666667,-1673.343417
2.666666667,37.53368333
2.666666667,85.33508333
2.666666667,101.0110833
2.666666667,522.8907833
14.66666667,-708.8351667
14.66666667,-681.7331667
2.666666667,222.4005333
2.666666667,167.6165333
67.33333333,-4905.113233
50.33333333,-3531.358467
40.66666667,-5758.356717
69.33333333,-9190.187277
114.6666667,-17753.02067
78.66666667,-10696.22152
2.666666667,220.8734333
2.666666667,220.8734333
2.666666667,220.8734333
4,-162.3463317
2.666666667,15.70451667
2.666666667,-35.3574
17.66666667,-617.7628667
52.66666667,-8677.6871
102.6666667,-12058.48578
38.66666667,-4803.9368
2.666666667,838.2705167
2.666666667,1161.809567
2.666666667,567.97275
50.66666667,-1593.30655
18.66666667,-1135.260083
38.66666667,-1412.347767
47.66666667,-1505.787667
2.666666667,8096.621917
2.666666667,3692.254433
2.666666667,331.2630833
14.66666667,-411.4566667
2.666666667,-146.03065
2.666666667,122.8800333
70.33333333,-3093.093903
82.66666667,-7596.568867
30.66666667,-2244.237767
2.666666667,3333.253683
2.666666667,1595.766933
2.666666667,5844.555283
2.666666667,9344.790283
2.666666667,360.7819333
2.666666667,375.2297833
2.666666667,677.5322833
